LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked,LAT_lag,LON_lag,vessel_distance
54.52441,18.62692,103,285,285,GDYNIA,PL,50,OCEANOGRAF,2,4190565,14,NA,2016-12-16T20:29:02Z,gdansk,2016-12-16,51,Fishing,Gdańsk,0,54.52055,18.6516,1651.409719073185
57.64734,11.8575,1,308,511,CLASS B,SE,12,SEA BIRD,9,4194704,4,NA,2016-12-19T14:17:07Z,gothenborg,2016-12-19,51,Pleasure,gothenborg,1,57.64749,11.85693,37.83868172805254
54.7962,18.76582,94,163,164,GDANSK,PL,21,WLA 250,2,4195618,6,NA,2016-12-16T16:57:02Z,gdansk,2016-12-16,51,Fishing,Gdańsk,0,54.75185,18.84858,7253.450344068372
54.50742,18.67815,56,315,310,GDANSK,PL,58,ORP KORMORAN,3,4200884,10,NA,2016-12-13T11:31:02Z,gdansk,2016-12-13,50,Tug,Gdańsk,0,54.4961,18.69812,1803.9717119402371
57.6595,11.85231,0,0,511,CLASS B,SE,12,TRIPLE ESS,9,4201085,4,NA,2016-12-15T14:05:06Z,gothenborg,2016-12-15,50,Pleasure,gothenborg,1,57.65945,11.85235,6.054267817082634
59.91663,30.02644,114,111,113,ST. PETERSBURG,PA,207,NIKOLAS,7,420706,30,32391,2016-12-18T02:19:03Z,st_petersburg,2016-12-18,51,Cargo,St. Petersburg,0,59.92066,30.00638,1205.8389402116075
57.60668,11.6594,129,46,39,SEGOT,PA,207,NEWYORKER,7,420754,30,32299,2016-12-19T02:07:05Z,gothenborg,2016-12-19,51,Cargo,gothenborg,0,57.60207,11.62982,1837.3015090517933
55.15951,20.15566,101,232,233,GDANSK,PA,77,SILVER FJORD,7,421615,13,1700,2016-12-15T21:25:02Z,kalingrad,2016-12-15,50,Cargo,Kalingrad,0,55.72566,20.80205,75085.17213213102
57.68848,11.60009,65,327,511,CLASS B,SE,9,KLONDYKE,2,4221324,3,NA,2016-12-14T10:29:05Z,gothenborg,2016-12-14,50,Fishing,gothenborg,0,57.69845,11.64067,2657.1769662199135
55.64753,20.80253,26,83,511,CLASS B,LT,9,LT-12465,9,4234809,4,NA,2016-12-17T13:51:06Z,klaipeda,2016-12-17,51,Pleasure,Klaipeda,0,55.70416,20.812,6331.994540783682
54.6484,19.9065,0,90,511,NA,RU,63,"NADEZHNIY",3,4249081,11,NA,2016-12-16T20:13:03Z,kalingrad,2016-12-16,51,Tug,Kalingrad,1,54.64835,19.90652,5.713102848289764
